Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance,Realised volatility
96,Short,2025-03-20 14:50:00+00:00,5762.25,2025-03-21 05:15:04+00:00,5707.5,No,10950.0,50,11.992608068403648
97,Long,2025-03-21 05:15:04+00:00,5707.5,2025-03-21 13:25:00+00:00,5653.25,Yes,-10850.0,50,12.713916744741388
98,Short,2025-03-21 17:05:00+00:00,5704.0,2025-03-24 00:05:00+00:00,5756.0,Yes,-10400.0,50,21.423221817199188
99,Long,2025-03-24 04:20:01+00:00,5753.75,2025-03-24 04:20:01+00:00,5775.0,No,4250.0,50,7.435611976945683
100,Short,2025-03-24 08:45:03+00:00,5775.0,2025-03-25 11:50:00+00:00,5825.75,Yes,-10150.0,50,12.448469961761374
101,Long,2025-03-25 16:40:00+00:00,5816.5,2025-03-25 16:40:00+00:00,5835.5,No,3800.0,50,7.287168080087834
102,Short,2025-03-26 00:40:02+00:00,5835.5,2025-03-26 03:20:00+00:00,5826.25,No,1850.0,50,3.282934475459614
103,Long,2025-03-26 03:20:00+00:00,5826.25,2025-03-26 16:05:00+00:00,5775.5,Yes,-10150.0,50,9.981990828729847
104,Short,2025-03-27 02:30:09+00:00,5760.5,2025-03-27 08:05:00+00:00,5752.75,No,1550.0,50,4.025416760970532
105,Long,2025-03-27 08:05:00+00:00,5752.75,2025-03-27 08:05:00+00:00,5743.0,No,-1950.0,50,11.277240842996147
106,Short,2025-03-28 03:30:00+00:00,5743.0,2025-03-28 07:30:00+00:00,5729.5,No,2700.0,50,4.817265619022651
107,Long,2025-03-28 07:30:00+00:00,5729.5,2025-03-28 14:20:00+00:00,5674.75,Yes,-10950.0,50,10.94210195575369
108,Short,2025-03-31 04:40:05+00:00,5588.0,2025-03-31 18:40:00+00:00,5640.25,Yes,-10450.0,50,17.939901550248038
109,Long,2025-04-01 00:20:00+00:00,5634.0,2025-04-01 00:20:00+00:00,5691.5,No,11500.0,50,15.236285294406208
110,Short,2025-04-01 16:20:00+00:00,5691.5,2025-04-02 02:55:00+00:00,5668.25,No,4650.0,50,14.807604209621001
111,Long,2025-04-02 02:55:00+00:00,5668.25,2025-04-02 12:30:00+00:00,5612.5,Yes,-11150.0,50,12.193836769959395
0,Short,2025-01-02 04:40:00+00:00,5954.0,2025-01-02 10:30:06+00:00,5969.75,No,-3150.0,80,5.104301949369969
1,Long,2025-01-02 10:30:06+00:00,5969.75,2025-01-02 17:50:00+00:00,5883.25,Yes,-17300.0,80,23.282384210202665
2,Short,2025-01-03 00:00:03+00:00,5914.75,2025-01-03 19:40:00+00:00,5996.5,Yes,-16350.0,80,19.74233590288322
3,Long,2025-01-06 00:15:05+00:00,5988.25,2025-01-06 00:15:05+00:00,5995.5,No,1450.0,80,3.693953907073642
4,Short,2025-01-06 07:15:11+00:00,5995.5,2025-01-06 18:05:00+00:00,6043.0,No,-9500.0,80,21.155429360172246
5,Long,2025-01-06 18:05:00+00:00,6043.0,2025-01-06 18:05:00+00:00,6026.0,No,-3400.0,80,6.709690698495761
6,Short,2025-01-07 09:40:02+00:00,6026.0,2025-01-07 15:40:05+00:00,5976.5,No,9900.0,80,11.588301004385054
7,Long,2025-01-07 15:40:05+00:00,5976.5,2025-01-07 15:40:05+00:00,5966.75,No,-1950.0,80,14.180256548154416
