Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance
81,Short,2024-01-18 12:50:00,4786.5,2024-01-18 16:45:00,4794.25,Yes,-1550.0,7.5
83,Long,2024-01-18 17:20:00,4791.5,2024-01-18 18:00:00,4779.75,Yes,-2350.0,7.5
85,Short,2024-01-18 22:50:00,4812.5,2024-01-18 22:50:00,4814.25,No,-350.0,7.5
87,Long,2024-01-19 05:50:00,4814.25,2024-01-19 20:10:00,4869.5,No,11050.0,7.5
89,Short,2024-01-19 20:10:00,4869.5,2024-01-22 00:00:00,4878.75,Yes,-1850.0,7.5
91,Long,2024-01-22 17:50:00,4884.75,2024-01-22 19:25:00,4874.5,Yes,-2050.0,7.5
93,Short,2024-01-23 14:25:00,4888.5,2024-01-23 14:25:00,4877.0,No,2300.0,7.5
95,Long,2024-01-23 18:30:00,4877.0,2024-01-23 21:30:00,4891.0,No,2800.0,7.5
97,Short,2024-01-23 21:30:00,4891.0,2024-01-23 22:15:00,4899.25,Yes,-1650.0,7.5
99,Long,2024-01-24 04:45:00,4905.5,2024-01-24 21:50:00,4897.5,Yes,-1600.0,7.5
101,Short,2024-01-25 08:10:00,4902.75,2024-01-25 14:30:00,4911.0,Yes,-1650.0,7.5
103,Long,2024-01-25 19:25:00,4905.75,2024-01-26 11:15:00,4914.75,No,1800.0,7.5
105,Short,2024-01-26 11:15:00,4914.75,2024-01-26 14:40:00,4923.0,Yes,-1650.0,7.5
107,Long,2024-01-26 19:05:00,4914.5,2024-01-29 00:00:00,4905.25,Yes,-1850.0,7.5
109,Short,2024-01-29 04:40:00,4911.25,2024-01-29 09:30:00,4920.0,Yes,-1750.0,7.5
111,Long,2024-01-30 03:35:00,4954.25,2024-01-30 12:15:00,4946.75,Yes,-1500.0,7.5
113,Short,2024-01-30 18:10:00,4954.0,2024-01-30 18:10:00,4935.25,No,3750.0,7.5
115,Long,2024-01-30 22:45:00,4935.25,2024-01-31 09:25:00,4936.75,No,300.0,7.5
117,Short,2024-01-31 09:25:00,4936.75,2024-01-31 09:25:00,4926.25,No,2100.0,7.5
119,Long,2024-01-31 13:40:00,4926.25,2024-01-31 15:50:00,4917.75,Yes,-1700.0,7.5
